text,label
help i am being assaulted immediately,EMERGENCY
someone is yelling threats asap,THREAT
urgent i think someone is stalking me,FOLLOWING
help me please now,EMERGENCY
please how to stay safe at night,PREVENTION
i feel threatened please,THREAT
help this place feels unsafe now,THREAT
help he is abusing me please,HARASSMENT
quick this place feels unsafe asap,THREAT
help i am being assaulted please,EMERGENCY
he is abusing me please,HARASSMENT
quick everything is okay asap,SAFE
help someone is attacking me please,EMERGENCY
urgent i am in danger,EMERGENCY
urgent safety precautions for women immediately,PREVENTION
help someone broke into my house now,EMERGENCY
i am being assaulted asap,EMERGENCY
help i feel like i'm being watched asap,FOLLOWING
urgent i am safe now please,SAFE
help i am being assaulted asap,EMERGENCY
i am getting inappropriate comments,HARASSMENT
help give me safety tips please,PREVENTION
everything is okay,SAFE
help me please please,EMERGENCY
please this place feels unsafe,THREAT
quick a man is walking behind me asap,FOLLOWING
help i am scared right now,THREAT
help someone is yelling threats please,THREAT
please i feel like i'm being watched now,FOLLOWING
help give me safety tips,PREVENTION
urgent someone is harassing me now,HARASSMENT
urgent i am getting inappropriate comments,HARASSMENT
urgent i am being assaulted asap,EMERGENCY
someone is chasing me immediately,FOLLOWING
urgent i feel like i'm being watched please,FOLLOWING
quick i feel threatened please,THREAT
please someone broke into my house,EMERGENCY
please a man is walking behind me asap,FOLLOWING
please this area is dangerous immediately,THREAT
please i feel uncomfortable with someone now,HARASSMENT
urgent how can i protect myself immediately,PREVENTION
no problem now asap,SAFE
quick i am getting inappropriate comments now,HARASSMENT
help someone is harassing me please,HARASSMENT
urgent someone is attacking me asap,EMERGENCY
urgent ways to stay safe while traveling now,PREVENTION
quick everything is okay please,SAFE
i think someone is stalking me please,FOLLOWING
urgent i am getting inappropriate comments immediately,HARASSMENT
quick i think someone is stalking me asap,FOLLOWING
quick this area is dangerous,THREAT
help a man is walking behind me now,FOLLOWING
help i am getting inappropriate comments please,HARASSMENT
please someone is bothering me immediately,HARASSMENT
quick i am getting inappropriate comments,HARASSMENT
urgent a man is walking behind me immediately,FOLLOWING
please i feel like i'm being watched asap,FOLLOWING
i am safe now,SAFE
help someone broke into my house please,EMERGENCY
help i feel like i'm being watched asap,FOLLOWING
please safety precautions for women immediately,PREVENTION
safety precautions for women now,PREVENTION
quick someone is yelling threats now,THREAT
urgent help me please now,EMERGENCY
help i am being assaulted,EMERGENCY
quick this area is dangerous immediately,THREAT
please i feel uncomfortable with someone now,HARASSMENT
help i reached home safely please,SAFE
please someone broke into my house,EMERGENCY
help i feel like i'm being watched,FOLLOWING
please this area is dangerous please,THREAT
quick someone is bothering me,HARASSMENT
quick someone is attacking me please,EMERGENCY
please i think someone is stalking me now,FOLLOWING
urgent no problem now please,SAFE
quick he is abusing me,HARASSMENT
help he is abusing me,HARASSMENT
quick i am getting inappropriate comments,HARASSMENT
help someone broke into my house now,EMERGENCY
please everything is okay immediately,SAFE
please give me safety tips now,PREVENTION
help i feel uncomfortable with someone immediately,HARASSMENT
please i am safe now,SAFE
help how to stay safe at night,PREVENTION
someone is yelling threats please,THREAT
i am getting inappropriate comments,HARASSMENT
urgent someone is bothering me now,HARASSMENT
he is abusing me now,HARASSMENT
please someone broke into my house asap,EMERGENCY
i feel like i'm being watched,FOLLOWING
urgent this area is dangerous now,THREAT
quick someone broke into my house,EMERGENCY
please someone is yelling threats immediately,THREAT
quick someone is harassing me now,HARASSMENT
someone is chasing me now,FOLLOWING
quick someone is yelling threats asap,THREAT
i feel threatened,THREAT
help everything is okay,SAFE
i am in danger asap,EMERGENCY
help ways to stay safe while traveling please,PREVENTION
i am scared right now immediately,THREAT
please someone is harassing me asap,HARASSMENT
quick everything is okay now,SAFE
urgent someone is chasing me immediately,FOLLOWING
quick give me safety tips now,PREVENTION
urgent someone is attacking me please,EMERGENCY
someone is yelling threats now,THREAT
please everything is okay asap,SAFE
i feel like i'm being watched now,FOLLOWING
i am scared right now now,THREAT
quick i am safe now,SAFE
help how to stay safe at night please,PREVENTION
quick someone is chasing me please,FOLLOWING
quick how can i protect myself immediately,PREVENTION
urgent someone is yelling threats now,THREAT
i feel like i'm being watched now,FOLLOWING
quick someone broke into my house please,EMERGENCY
i am scared right now immediately,THREAT
quick he is abusing me asap,HARASSMENT
help a man is walking behind me immediately,FOLLOWING
help he is abusing me now,HARASSMENT
someone is bothering me asap,HARASSMENT
help i am scared right now immediately,THREAT
please i think someone is stalking me please,FOLLOWING
help this place feels unsafe immediately,THREAT
this place feels unsafe asap,THREAT
someone is following me please,FOLLOWING
urgent i am being assaulted,EMERGENCY
urgent someone broke into my house,EMERGENCY
urgent someone is bothering me,HARASSMENT
help safety precautions for women,PREVENTION
please a man is walking behind me asap,FOLLOWING
please i think someone is stalking me asap,FOLLOWING
please no problem now asap,SAFE
quick someone broke into my house please,EMERGENCY
i am getting inappropriate comments immediately,HARASSMENT
help someone is harassing me please,HARASSMENT
ways to stay safe while traveling now,PREVENTION
urgent i think someone is stalking me immediately,FOLLOWING
please i am scared right now now,THREAT
please someone is bothering me please,HARASSMENT
help i think someone is stalking me now,FOLLOWING
quick i feel threatened now,THREAT
i feel like i'm being watched now,FOLLOWING
please how can i protect myself immediately,PREVENTION
urgent help me please please,EMERGENCY
urgent i feel secure immediately,SAFE
quick i reached home safely please,SAFE
urgent someone is harassing me immediately,HARASSMENT
please i reached home safely please,SAFE
someone is harassing me please,HARASSMENT
help i think someone is stalking me asap,FOLLOWING
urgent everything is okay now,SAFE
urgent he is abusing me now,HARASSMENT
quick i think someone is stalking me asap,FOLLOWING
please i think someone is stalking me please,FOLLOWING
quick someone is harassing me please,HARASSMENT
please someone is yelling threats please,THREAT
please i think someone is stalking me please,FOLLOWING
someone is harassing me please,HARASSMENT
help i am safe now,SAFE
quick i am scared right now immediately,THREAT
quick i feel threatened please,THREAT
please someone is chasing me please,FOLLOWING
urgent ways to stay safe while traveling immediately,PREVENTION
help i am in danger,EMERGENCY
urgent i feel secure immediately,SAFE
quick someone is attacking me now,EMERGENCY
quick help me please,EMERGENCY
i feel like i'm being watched,FOLLOWING
help this place feels unsafe now,THREAT
urgent how to stay safe at night,PREVENTION
please how to stay safe at night now,PREVENTION
please someone is bothering me asap,HARASSMENT
someone is yelling threats asap,THREAT
urgent i am getting inappropriate comments please,HARASSMENT
please someone is following me asap,FOLLOWING
help no problem now asap,SAFE
help someone is harassing me immediately,HARASSMENT
help give me safety tips please,PREVENTION
urgent safety precautions for women now,PREVENTION
quick give me safety tips immediately,PREVENTION
i am scared right now now,THREAT
quick i am scared right now,THREAT
help how can i protect myself asap,PREVENTION
urgent someone is yelling threats,THREAT
urgent i think someone is stalking me,FOLLOWING
urgent someone is attacking me,EMERGENCY
please how can i protect myself immediately,PREVENTION
urgent this area is dangerous immediately,THREAT
help no problem now,SAFE
quick this area is dangerous immediately,THREAT
urgent someone is chasing me,FOLLOWING
please i am in danger now,EMERGENCY
urgent how can i protect myself immediately,PREVENTION
no problem now immediately,SAFE
no problem now please,SAFE
help i am safe now please,SAFE
urgent i am being assaulted please,EMERGENCY
urgent i feel uncomfortable with someone asap,HARASSMENT
help how to stay safe at night,PREVENTION
quick how can i protect myself now,PREVENTION
someone is bothering me immediately,HARASSMENT
quick someone broke into my house asap,EMERGENCY
help i feel threatened please,THREAT
urgent i reached home safely immediately,SAFE
please this area is dangerous now,THREAT
i am scared right now,THREAT
urgent he is abusing me immediately,HARASSMENT
please someone is following me,FOLLOWING
please i feel secure immediately,SAFE
quick someone broke into my house now,EMERGENCY
he is abusing me immediately,HARASSMENT
quick give me safety tips immediately,PREVENTION
urgent i am being assaulted,EMERGENCY
quick ways to stay safe while traveling,PREVENTION
urgent someone is yelling threats,THREAT
urgent this area is dangerous please,THREAT
please i feel threatened asap,THREAT
i am being assaulted,EMERGENCY
urgent i feel secure immediately,SAFE
urgent i feel threatened please,THREAT
urgent he is abusing me please,HARASSMENT
please how can i protect myself,PREVENTION
ways to stay safe while traveling please,PREVENTION
urgent no problem now now,SAFE
quick i feel threatened please,THREAT
how can i protect myself immediately,PREVENTION
urgent someone is bothering me please,HARASSMENT
he is abusing me asap,HARASSMENT
help i feel like i'm being watched asap,FOLLOWING
quick i think someone is stalking me immediately,FOLLOWING
help this place feels unsafe please,THREAT
quick everything is okay,SAFE
quick a man is walking behind me,FOLLOWING
quick how can i protect myself asap,PREVENTION
please how can i protect myself asap,PREVENTION
quick help me please now,EMERGENCY
help i am safe now now,SAFE
quick a man is walking behind me,FOLLOWING
please i am safe now please,SAFE
help me please please,EMERGENCY
please help me please please,EMERGENCY
someone broke into my house asap,EMERGENCY
urgent i reached home safely please,SAFE
i feel uncomfortable with someone immediately,HARASSMENT
urgent this place feels unsafe asap,THREAT
quick i think someone is stalking me,FOLLOWING
help give me safety tips,PREVENTION
urgent i am scared right now please,THREAT
urgent someone is yelling threats asap,THREAT
give me safety tips asap,PREVENTION
someone is chasing me please,FOLLOWING
urgent i am being assaulted,EMERGENCY
help i am scared right now immediately,THREAT
please this area is dangerous asap,THREAT
someone is yelling threats asap,THREAT
help someone is attacking me now,EMERGENCY
someone is harassing me asap,HARASSMENT
help me please please,EMERGENCY
urgent i feel threatened please,THREAT
urgent someone is chasing me asap,FOLLOWING
please i think someone is stalking me immediately,FOLLOWING
quick someone is attacking me asap,EMERGENCY
i reached home safely,SAFE
urgent help me please please,EMERGENCY
quick give me safety tips asap,PREVENTION
i am in danger,EMERGENCY
please someone is harassing me now,HARASSMENT
urgent someone is harassing me immediately,HARASSMENT
please i feel secure immediately,SAFE
urgent no problem now,SAFE
urgent i think someone is stalking me asap,FOLLOWING
help i am getting inappropriate comments now,HARASSMENT
help this area is dangerous,THREAT
urgent how can i protect myself please,PREVENTION
please someone is chasing me immediately,FOLLOWING
this place feels unsafe please,THREAT
quick i am getting inappropriate comments immediately,HARASSMENT
someone is bothering me,HARASSMENT
please how can i protect myself please,PREVENTION
urgent i feel like i'm being watched please,FOLLOWING
i am safe now,SAFE
please he is abusing me please,HARASSMENT
quick i feel like i'm being watched immediately,FOLLOWING
help safety precautions for women asap,PREVENTION
ways to stay safe while traveling asap,PREVENTION
please i feel uncomfortable with someone,HARASSMENT
quick i reached home safely asap,SAFE
please give me safety tips,PREVENTION
urgent no problem now now,SAFE
please i feel secure now,SAFE
he is abusing me asap,HARASSMENT
please someone is attacking me please,EMERGENCY
quick someone broke into my house now,EMERGENCY
give me safety tips immediately,PREVENTION
this area is dangerous immediately,THREAT
urgent i am in danger now,EMERGENCY
i feel secure,SAFE
quick he is abusing me please,HARASSMENT
help i feel uncomfortable with someone now,HARASSMENT
urgent i am in danger asap,EMERGENCY
help i feel uncomfortable with someone,HARASSMENT
please i am getting inappropriate comments asap,HARASSMENT
i think someone is stalking me immediately,FOLLOWING
urgent someone is following me asap,FOLLOWING
help ways to stay safe while traveling immediately,PREVENTION
urgent how can i protect myself immediately,PREVENTION
please i am being assaulted immediately,EMERGENCY
urgent i feel like i'm being watched please,FOLLOWING
urgent ways to stay safe while traveling,PREVENTION
urgent how to stay safe at night now,PREVENTION
quick safety precautions for women,PREVENTION
help a man is walking behind me immediately,FOLLOWING
quick this place feels unsafe immediately,THREAT
help someone is harassing me,HARASSMENT
quick i am being assaulted now,EMERGENCY
help someone is following me immediately,FOLLOWING
help give me safety tips asap,PREVENTION
help this place feels unsafe asap,THREAT
urgent i am in danger,EMERGENCY
please someone is following me,FOLLOWING
please safety precautions for women,PREVENTION
please this area is dangerous,THREAT
quick i am safe now,SAFE
please ways to stay safe while traveling please,PREVENTION
help someone is bothering me immediately,HARASSMENT
urgent i am being assaulted please,EMERGENCY
quick someone is following me please,FOLLOWING
urgent i am being assaulted please,EMERGENCY
how can i protect myself now,PREVENTION
urgent how can i protect myself asap,PREVENTION
quick someone is bothering me asap,HARASSMENT
safety precautions for women please,PREVENTION
i think someone is stalking me asap,FOLLOWING
urgent someone is chasing me immediately,FOLLOWING
urgent how to stay safe at night please,PREVENTION
quick someone is following me immediately,FOLLOWING
help ways to stay safe while traveling,PREVENTION
quick someone is chasing me,FOLLOWING
quick someone broke into my house please,EMERGENCY
help i am safe now now,SAFE
please i am getting inappropriate comments,HARASSMENT
quick i feel like i'm being watched now,FOLLOWING
urgent he is abusing me immediately,HARASSMENT
urgent i am being assaulted please,EMERGENCY
quick i am being assaulted,EMERGENCY
urgent someone is attacking me,EMERGENCY
help i am in danger now,EMERGENCY
please i am safe now now,SAFE
quick i am in danger now,EMERGENCY
quick i feel uncomfortable with someone immediately,HARASSMENT
urgent i am being assaulted please,EMERGENCY
urgent i feel threatened,THREAT
please everything is okay asap,SAFE
everything is okay please,SAFE
help someone is following me,FOLLOWING
quick safety precautions for women,PREVENTION
quick someone is yelling threats now,THREAT
help how can i protect myself immediately,PREVENTION
help a man is walking behind me asap,FOLLOWING
urgent he is abusing me now,HARASSMENT
please someone is bothering me immediately,HARASSMENT
help i feel threatened now,THREAT
urgent help me please asap,EMERGENCY
please give me safety tips asap,PREVENTION
i feel secure now,SAFE
help someone broke into my house now,EMERGENCY
he is abusing me please,HARASSMENT
quick how can i protect myself,PREVENTION
quick i think someone is stalking me immediately,FOLLOWING
urgent someone broke into my house immediately,EMERGENCY
urgent a man is walking behind me,FOLLOWING
help someone is harassing me now,HARASSMENT
help i am being assaulted now,EMERGENCY
urgent help me please please,EMERGENCY
quick someone is chasing me please,FOLLOWING
quick someone broke into my house immediately,EMERGENCY
urgent i feel like i'm being watched,FOLLOWING
urgent ways to stay safe while traveling,PREVENTION
a man is walking behind me asap,FOLLOWING
please how to stay safe at night now,PREVENTION
i am scared right now,THREAT
urgent i feel uncomfortable with someone,HARASSMENT
urgent how can i protect myself now,PREVENTION
help he is abusing me immediately,HARASSMENT
please someone is yelling threats please,THREAT
quick i feel like i'm being watched please,FOLLOWING
please i feel like i'm being watched please,FOLLOWING
please how to stay safe at night please,PREVENTION
how to stay safe at night now,PREVENTION
please ways to stay safe while traveling asap,PREVENTION
quick someone is yelling threats please,THREAT
help someone broke into my house asap,EMERGENCY
i am getting inappropriate comments now,HARASSMENT
please i think someone is stalking me please,FOLLOWING
please ways to stay safe while traveling now,PREVENTION
quick someone is harassing me immediately,HARASSMENT
i feel threatened please,THREAT
someone is following me please,FOLLOWING
please i feel threatened asap,THREAT
quick i feel like i'm being watched please,FOLLOWING
quick this place feels unsafe please,THREAT
please how can i protect myself,PREVENTION
urgent someone is chasing me asap,FOLLOWING
urgent a man is walking behind me asap,FOLLOWING
quick he is abusing me,HARASSMENT
urgent i reached home safely immediately,SAFE
help this place feels unsafe,THREAT
how can i protect myself now,PREVENTION
i feel threatened immediately,THREAT
quick someone is chasing me,FOLLOWING
help i am being assaulted asap,EMERGENCY
help i feel like i'm being watched,FOLLOWING
i feel secure,SAFE
help someone broke into my house now,EMERGENCY
urgent i feel secure please,SAFE
help i am getting inappropriate comments please,HARASSMENT
please someone is yelling threats please,THREAT
urgent a man is walking behind me please,FOLLOWING
quick help me please asap,EMERGENCY
help someone is harassing me now,HARASSMENT
please no problem now please,SAFE
urgent someone is following me now,FOLLOWING
please ways to stay safe while traveling immediately,PREVENTION
urgent help me please now,EMERGENCY
help i reached home safely please,SAFE
urgent someone is bothering me now,HARASSMENT
someone is following me asap,FOLLOWING
help ways to stay safe while traveling asap,PREVENTION
i feel threatened,THREAT
urgent give me safety tips asap,PREVENTION
help no problem now please,SAFE
please i am safe now,SAFE
please he is abusing me now,HARASSMENT
someone is chasing me please,FOLLOWING
please i am safe now,SAFE
help someone is bothering me please,HARASSMENT
quick help me please asap,EMERGENCY
urgent this place feels unsafe now,THREAT
please a man is walking behind me,FOLLOWING
please i feel uncomfortable with someone immediately,HARASSMENT
no problem now please,SAFE
quick someone is following me please,FOLLOWING
please no problem now please,SAFE
i am safe now please,SAFE
please ways to stay safe while traveling asap,PREVENTION
please he is abusing me asap,HARASSMENT
quick i am getting inappropriate comments now,HARASSMENT
quick give me safety tips asap,PREVENTION
help he is abusing me,HARASSMENT
help ways to stay safe while traveling now,PREVENTION
quick how can i protect myself now,PREVENTION
help someone is harassing me now,HARASSMENT
urgent someone is harassing me now,HARASSMENT
i reached home safely now,SAFE
please ways to stay safe while traveling now,PREVENTION
i am scared right now please,THREAT
quick i am getting inappropriate comments now,HARASSMENT
quick help me please,EMERGENCY
i am safe now,SAFE
please i am getting inappropriate comments,HARASSMENT
help someone is attacking me immediately,EMERGENCY
urgent someone is chasing me please,FOLLOWING
urgent i think someone is stalking me please,FOLLOWING
urgent this area is dangerous please,THREAT
how can i protect myself please,PREVENTION
quick i reached home safely please,SAFE
please how to stay safe at night now,PREVENTION
help how to stay safe at night immediately,PREVENTION
someone is following me,FOLLOWING
quick i feel secure,SAFE
someone broke into my house immediately,EMERGENCY
urgent give me safety tips please,PREVENTION
quick a man is walking behind me now,FOLLOWING
please i am getting inappropriate comments please,HARASSMENT
urgent i feel uncomfortable with someone please,HARASSMENT
please everything is okay now,SAFE
help safety precautions for women,PREVENTION
quick i am getting inappropriate comments,HARASSMENT
help no problem now please,SAFE
quick someone is attacking me immediately,EMERGENCY
urgent someone is bothering me asap,HARASSMENT
someone broke into my house,EMERGENCY
please this area is dangerous asap,THREAT
quick someone is attacking me asap,EMERGENCY
quick this place feels unsafe please,THREAT
please everything is okay immediately,SAFE
someone is harassing me now,HARASSMENT
please someone is harassing me please,HARASSMENT
help ways to stay safe while traveling asap,PREVENTION
safety precautions for women asap,PREVENTION
quick everything is okay immediately,SAFE
help i feel uncomfortable with someone asap,HARASSMENT
urgent this place feels unsafe please,THREAT
help someone is yelling threats now,THREAT
someone is bothering me asap,HARASSMENT
how can i protect myself immediately,PREVENTION
help i feel uncomfortable with someone please,HARASSMENT
help someone is bothering me asap,HARASSMENT
help i feel threatened please,THREAT
quick someone is following me asap,FOLLOWING
help this area is dangerous asap,THREAT
urgent no problem now,SAFE
please i feel threatened,THREAT
please this place feels unsafe now,THREAT
please safety precautions for women please,PREVENTION
help i am being assaulted,EMERGENCY
urgent someone is following me,FOLLOWING
urgent someone broke into my house immediately,EMERGENCY
urgent i am being assaulted,EMERGENCY
quick i am being assaulted,EMERGENCY
how can i protect myself asap,PREVENTION
urgent someone is yelling threats now,THREAT
help i feel threatened,THREAT
please this area is dangerous now,THREAT
he is abusing me now,HARASSMENT
i think someone is stalking me,FOLLOWING
please how can i protect myself,PREVENTION
i am scared right now immediately,THREAT
urgent someone broke into my house immediately,EMERGENCY
please i am safe now,SAFE
someone is chasing me asap,FOLLOWING
someone is yelling threats now,THREAT
quick i feel secure,SAFE
ways to stay safe while traveling immediately,PREVENTION
please this area is dangerous immediately,THREAT
help i am safe now,SAFE
i am safe now please,SAFE
urgent give me safety tips,PREVENTION
please i reached home safely immediately,SAFE
urgent i am being assaulted immediately,EMERGENCY
quick someone is yelling threats asap,THREAT
help he is abusing me,HARASSMENT
help i am scared right now,THREAT
quick this place feels unsafe now,THREAT
urgent someone broke into my house immediately,EMERGENCY
urgent he is abusing me,HARASSMENT
help how can i protect myself please,PREVENTION
someone broke into my house,EMERGENCY
help how can i protect myself,PREVENTION
quick i think someone is stalking me now,FOLLOWING
quick someone is chasing me now,FOLLOWING
please someone is attacking me please,EMERGENCY
please i reached home safely,SAFE
help someone is attacking me asap,EMERGENCY
quick someone is chasing me asap,FOLLOWING
i am in danger asap,EMERGENCY
quick someone is yelling threats,THREAT
how can i protect myself,PREVENTION
quick i feel secure asap,SAFE
urgent someone broke into my house now,EMERGENCY
urgent he is abusing me,HARASSMENT
please someone broke into my house please,EMERGENCY
help how can i protect myself,PREVENTION
please i feel uncomfortable with someone now,HARASSMENT
quick he is abusing me please,HARASSMENT
urgent i am safe now now,SAFE
quick i reached home safely please,SAFE
please someone is chasing me,FOLLOWING
urgent i am getting inappropriate comments now,HARASSMENT
i am getting inappropriate comments asap,HARASSMENT
help everything is okay now,SAFE
please i think someone is stalking me immediately,FOLLOWING
please this place feels unsafe,THREAT
i am scared right now please,THREAT
quick someone is chasing me please,FOLLOWING
someone is bothering me,HARASSMENT
help safety precautions for women asap,PREVENTION
urgent i feel uncomfortable with someone immediately,HARASSMENT
quick i am being assaulted,EMERGENCY
please give me safety tips asap,PREVENTION
a man is walking behind me please,FOLLOWING
quick someone broke into my house now,EMERGENCY
i feel secure immediately,SAFE
quick someone is following me immediately,FOLLOWING
please how to stay safe at night asap,PREVENTION
help this area is dangerous please,THREAT
urgent give me safety tips asap,PREVENTION
urgent i am in danger now,EMERGENCY
please a man is walking behind me asap,FOLLOWING
quick someone broke into my house,EMERGENCY
please i think someone is stalking me now,FOLLOWING
please someone is attacking me now,EMERGENCY
someone is chasing me please,FOLLOWING
please i feel like i'm being watched immediately,FOLLOWING
urgent someone is bothering me please,HARASSMENT
urgent help me please immediately,EMERGENCY
help i feel secure please,SAFE
i reached home safely asap,SAFE
help i am being assaulted immediately,EMERGENCY
help i think someone is stalking me immediately,FOLLOWING
urgent i am safe now asap,SAFE
quick i reached home safely asap,SAFE
urgent someone is harassing me asap,HARASSMENT
quick i reached home safely immediately,SAFE
help someone broke into my house immediately,EMERGENCY
quick ways to stay safe while traveling asap,PREVENTION
please i think someone is stalking me now,FOLLOWING
quick someone is harassing me now,HARASSMENT
someone is yelling threats immediately,THREAT
please i feel uncomfortable with someone,HARASSMENT
help someone is yelling threats,THREAT
please i feel threatened immediately,THREAT
please someone is attacking me please,EMERGENCY
urgent he is abusing me asap,HARASSMENT
urgent i am scared right now asap,THREAT
help i feel like i'm being watched please,FOLLOWING
please he is abusing me now,HARASSMENT
help someone is bothering me,HARASSMENT
urgent i am scared right now,THREAT
please no problem now please,SAFE
please someone is yelling threats please,THREAT
help this place feels unsafe asap,THREAT
please i am scared right now please,THREAT
quick someone is yelling threats,THREAT
help someone is yelling threats,THREAT
help i am scared right now,THREAT
help everything is okay asap,SAFE
please how can i protect myself,PREVENTION
quick i feel uncomfortable with someone immediately,HARASSMENT
quick i feel threatened now,THREAT
help ways to stay safe while traveling immediately,PREVENTION
help someone is harassing me asap,HARASSMENT
quick someone broke into my house,EMERGENCY
urgent ways to stay safe while traveling please,PREVENTION
help someone is harassing me immediately,HARASSMENT
help someone is yelling threats,THREAT
someone is yelling threats now,THREAT
this area is dangerous immediately,THREAT
urgent safety precautions for women please,PREVENTION
please i reached home safely,SAFE
help ways to stay safe while traveling immediately,PREVENTION
someone is chasing me immediately,FOLLOWING
quick someone broke into my house now,EMERGENCY
help a man is walking behind me now,FOLLOWING
help someone is harassing me immediately,HARASSMENT
ways to stay safe while traveling please,PREVENTION
help someone is yelling threats now,THREAT
help i am safe now immediately,SAFE
a man is walking behind me immediately,FOLLOWING
i am scared right now asap,THREAT
someone is following me now,FOLLOWING
quick someone is yelling threats immediately,THREAT
urgent no problem now asap,SAFE
i feel secure asap,SAFE
help i am safe now asap,SAFE
quick safety precautions for women,PREVENTION
help how can i protect myself please,PREVENTION
help me please,EMERGENCY
i am being assaulted please,EMERGENCY
quick everything is okay,SAFE
urgent i feel secure asap,SAFE
help how can i protect myself asap,PREVENTION
urgent i think someone is stalking me immediately,FOLLOWING
no problem now,SAFE
quick this area is dangerous immediately,THREAT
quick help me please,EMERGENCY
please i am being assaulted,EMERGENCY
please someone is attacking me immediately,EMERGENCY
please i think someone is stalking me,FOLLOWING
please someone broke into my house asap,EMERGENCY
please i am being assaulted immediately,EMERGENCY
quick this place feels unsafe immediately,THREAT
help i feel secure immediately,SAFE
urgent help me please please,EMERGENCY
urgent someone is bothering me,HARASSMENT
please i think someone is stalking me now,FOLLOWING
help i feel secure please,SAFE
help someone is chasing me now,FOLLOWING
urgent he is abusing me now,HARASSMENT
help someone is attacking me now,EMERGENCY
quick i am safe now please,SAFE
please i am being assaulted asap,EMERGENCY
please someone is harassing me,HARASSMENT
help help me please now,EMERGENCY
help i reached home safely immediately,SAFE
he is abusing me immediately,HARASSMENT
help how to stay safe at night,PREVENTION
quick i am scared right now,THREAT
please someone is harassing me please,HARASSMENT
